county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
Jackson County,981,100%,0.608,"$25,818 ",.,.,.,981,100%,0.608
Jefferson County,"18,596",3%,714.189,"$36,427 ","5,606",1%,"3,164.97","12,990",35%,61.208
Kiowa County,929,100%,0.526,"$22,173 ",.,.,.,929,100%,0.526
Kit Carson County,"6,742",94%,3.304,"$21,330 ","3,947",100%,"2,663.11","2,795",88%,1.478
Lake County,537,7%,19.509,"$25,998 ",.,.,"1,526.60",537,24%,6.06
La Plata County,"21,415",40%,31.591,"$31,016 ","1,856",9%,"1,940.35","19,559",62%,18.92
Larimer County,"34,918",11%,123.619,"$31,082 ","15,874",6%,"2,503.17","19,044",53%,14.384
Las Animas County,"4,908",35%,2.919,"$23,365 ",383,5%,"1,437.79","4,525",82%,1.151
Lincoln County,"4,613",100%,1.79,"$17,594 ",.,.,.,"4,613",100%,1.79
Logan County,"2,822",14%,11.1,"$23,533 ",16,0%,"2,366.74","2,806",55%,2.76
Mesa County,"11,457",7%,49.654,"$26,518 ",130,0%,"1,841.10","11,327",56%,6.222
Mineral County,560,97%,0.657,"$34,305 ",.,.,.,560,97%,0.657
Moffat County,772,6%,2.914,"$24,623 ",.,.,"1,820.49",772,22%,0.733
Montezuma County,"16,236",64%,12.466,"$23,611 ","7,297",89%,"2,237.93","8,939",52%,8.432
Montrose County,"13,998",31%,20.075,"$23,408 ",480,2%,"1,439.74","13,518",72%,8.491
Morgan County,"3,615",13%,20.987,"$21,297 ",113,1%,"2,524.50","3,502",42%,6.481
Otero County,"2,217",15%,12.072,"$18,868 ",30,0%,"1,825.35","2,187",43%,4.021
Ouray County,"4,058",90%,8.372,"$32,562 ",.,.,.,"4,058",90%,8.372
Park County,"9,826",64%,6.999,"$31,838 ",.,.,.,"9,826",64%,6.999
Phillips County,"1,048",31%,4.899,"$22,996 ",.,.,.,"1,048",31%,4.899
Pitkin County,"3,657",21%,18.314,"$54,441 ",731,7%,"1,769.74","2,926",37%,8.227
Prowers County,"3,162",29%,6.621,"$19,039 ",.,.,"1,487.99","3,162",88%,2.204
Pueblo County,"13,724",8%,67.882,"$22,229 ","4,684",3%,"1,865.28","9,040",38%,10.186
Rio Blanco County,"1,184",18%,2.069,"$27,776 ",.,.,.,"1,184",18%,2.069
Rio Grande County,"2,615",26%,11.16,"$21,104 ",.,.,"1,831.79","2,615",41%,6.953
Routt County,664,3%,10.518,"$35,019 ",.,.,"1,757.42",664,6%,4.462
Saguache County,"5,244",98%,1.681,"$20,569 ",.,.,.,"5,244",98%,1.681
San Juan County,537,96%,1.437,"$25,926 ",.,.,.,537,96%,1.437
San Miguel County,"2,809",39%,5.573,"$40,993 ",.,.,.,"2,809",39%,5.573
Sedgwick County,861,59%,2.648,"$22,124 ",.,.,.,861,59%,2.648
Summit County,"3,832",13%,48.042,"$34,842 ","2,830",12%,"1,545.40","1,002",19%,9.027
Teller County,"9,088",40%,40.843,"$31,732 ",265,3%,"1,265.21","8,823",62%,25.89
Washington County,"2,586",86%,1.195,"$24,326 ",.,.,.,"2,586",86%,1.195
Weld County,"56,444",20%,70.518,"$25,959 ","12,073",5%,"2,735.87","44,371",83%,13.752
Yuma County,"7,153",86%,3.502,"$22,902 ","3,195",100%,"2,084.38","3,958",78%,2.152
Connecticut,"47,464",1%,749.881,.,"42,220",1%,"1,753.58","5,244",1%,142.032
Fairfield County,"2,836",0%,"1,494.48","$49,688 ","2,795",0%,"2,015.55",41,0%,230.002
Hartford County,"16,630",2%,"1,242.70","$35,307 ","16,178",2%,"1,892.36",452,1%,177.646
Litchfield County,828,0%,203.942,"$37,696 ",111,0%,"1,185.91",717,1%,92.86
Middlesex County,"3,420",2%,456.234,"$40,589 ","2,519",2%,"1,155.97",901,2%,158.172
New Haven County,"7,237",1%,"1,452.66","$32,794 ","6,795",1%,"1,936.37",442,1%,187.924
New London County,"10,524",4%,409.731,"$34,241 ","8,687",4%,"1,330.95","1,837",3%,134.62
Tolland County,"5,031",3%,378.213,"$35,022 ","4,601",5%,"1,112.97",430,1%,181.375
Windham County,958,1%,237.588,"$28,044 ",534,1%,"1,323.61",424,1%,128.984
Delaware,"29,789",3%,483.256,.,"13,355",2%,"1,926.06","16,434",10%,102.478
Kent County,"7,629",4%,304.313,"$25,259 ","3,063",2%,"1,604.67","4,566",10%,91.629
New Castle County,"8,269",1%,"1,293.93","$32,616 ","7,587",1%,"2,509.18",682,3%,116.942
Sussex County,"13,891",7%,226.134,"$27,748 ","2,705",2%,"1,090.96","11,186",13%,105.318
District of Columbia,"10,539",2%," 10,223.82 ", ,"10,539",2%,"10,223.82",.,.,.
Florida,"1,297,648",7%,370.964,.,"795,839",4%,"2,450.26","501,809",29%,37.935
Alachua County,"37,706",15%,296.213,"$25,020 ","23,648",11%,"2,215.08","14,058",27%,67.503
Baker County,"6,489",22%,51.002,"$20,346 ",413,3%,"1,221.82","6,076",34%,31.345
Bay County,"8,874",5%,227.278,"$24,937 ","3,620",2%,"1,550.32","5,254",25%,31.235
Bradford County,"13,708",45%,102.748,"$18,540 ",857,12%,"1,171.43","12,851",56%,79.761
Brevard County,.,.,561.752,"$27,360 ",.,.,"2,038.98",.,.,37.791
Broward County,"45,367",3%,"1,446.69","$28,329 ","45,264",3%,"4,450.75",103,36%,0.347
Calhoun County,"14,789",100%,26.09,"$15,463 ","4,822",100%,"1,223.14","9,967",100%,17.714
Charlotte County,"14,345",10%,220.395,"$26,374 ","9,526",7%,"1,158.52","4,819",36%,24.048
Citrus County,"14,669",10%,256.845,"$23,495 ","3,934",4%,942.477,"10,735",21%,107.604
Clay County,"14,721",7%,358.539,"$26,489 ","7,104",4%,"1,718.37","7,617",25%,62.229
Collier County,"10,515",3%,173.716,"$37,236 ","6,651",2%,"1,777.08","3,864",13%,16.618
Columbia County,"15,017",20%,92.923,"$19,884 ","4,777",17%,"1,101.69","10,240",22%,60.187
DeSoto County,"22,924",65%,54.943,"$15,596 ","14,183",72%,"1,677.22","8,741",57%,24.54
Dixie County,"16,658",100%,23.627,"$16,954 ","4,145",100%,"1,192.89","12,513",100%,17.836
Duval County,.,.,"1,189.89","$26,267 ",.,.,"2,300.97",.,.,70.362
Escambia County,"16,789",6%,446.372,"$24,014 ","9,973",4%,"1,549.47","6,816",29%,49.243
Flagler County,"4,389",4%,240.95,"$24,393 ","2,158",2%,"2,020.67","2,231",21%,24.589
Franklin County,"2,599",22%,22.369,"$20,287 ",157,4%,"1,306.63","2,442",29%,15.622
Gadsden County,"11,103",23%,93.116,"$18,101 ","4,046",24%,"1,272.80","7,057",22%,62.683
Gilchrist County,"12,656",70%,52.06,"$20,536 ","3,045",100%,"1,569.71","9,611",63%,43.593
Glades County,"8,321",63%,16.314,"$16,799 ","2,987",78%,"1,440.82","5,334",57%,11.579
Gulf County,"4,005",26%,26.923,"$19,411 ",.,.,"1,053.57","4,005",33%,21.633
Hamilton County,788,6%,27.749,"$15,012 ",223,4%,"2,457.10",565,6%,17.33
Hardee County,"2,408",8%,44.547,"$15,783 ","1,395",9%,"1,493.99","1,013",8%,20.949
Hendry County,"12,109",29%,35.964,"$16,381 ","2,671",10%,"1,782.95","9,438",62%,13.324
Hernando County,"11,962",6%,407.842,"$21,245 ","2,979",2%,"1,539.49","8,983",24%,100.603
Highlands County,"18,236",18%,101.22,"$20,455 ","10,478",13%,"1,258.70","7,758",37%,22.147
Hillsborough County,"36,745",3%,"1,302.62","$27,532 ","33,133",3%,"2,495.21","3,612",8%,91.264
Holmes County,"14,812",75%,41.357,"$16,946 ","1,572",38%,"1,148.54","13,240",84%,33.04
Indian River County,.,.,294.075,"$31,089 ",.,.,"1,672.10",.,.,17.206
Jackson County,"28,487",57%,54.564,"$17,611 ","4,878",39%,"1,453.88","23,609",63%,41.366
Jefferson County,"12,257",85%,24.157,"$20,972 ",.,.,.,"12,257",85%,24.157
Lafayette County,966,11%,16.499,"$18,125 ",.,.,.,966,11%,16.499
Lake County,"37,306",11%,357.638,"$24,103 ","15,547",6%,"1,688.48","21,759",34%,82.106
Lee County,"49,809",7%,874.862,"$27,578 ","43,809",7%,"1,769.41","6,000",15%,92.961
Leon County,"26,526",9%,440.88,"$26,486 ","21,607",8%,"2,016.46","4,919",14%,66.725
Levy County,"36,739",88%,37.412,"$19,655 ","2,020",63%,"1,065.17","34,719",90%,34.631
Liberty County,"8,676",100%,10.422,"$16,928 ",.,.,.,"8,676",100%,10.422
Madison County,"8,551",46%,26.465,"$15,664 ",62,2%,"1,803.50","8,489",57%,21.34
Manatee County,"68,838",20%,466.279,"$27,948 ","64,003",20%,"2,225.30","4,835",23%,35.524
Marion County,"43,727",12%,227.388,"$21,752 ","18,071",7%,"1,464.58","25,656",24%,76.754
Martin County,"8,808",6%,279.317,"$35,183 ","4,581",3%,"1,839.85","4,227",33%,27.604
Miami-Dade County,"166,217",6%,"1,379.71","$23,433 ","160,052",6%,"6,348.70","6,165",66%,6.32
Monroe County,"4,272",6%,73.248,"$34,424 ","3,776",6%,"1,741.87",496,8%,6.675
Nassau County,"6,151",7%,127.795,"$29,321 ","2,725",6%,"1,051.93","3,426",9%,65.36
Okaloosa County,"14,544",8%,193.767,"$29,082 ","6,728",4%,"1,736.92","7,816",36%,25.634
Okeechobee County,"10,162",24%,55.617,"$18,087 ","1,359",5%,"1,107.63","8,803",58%,20.559
Orange County,.,.,"1,370.31","$25,052 ",.,.,"2,852.93",.,.,53.652
Osceola County,.,.,234.197,"$18,996 ",.,.,"2,059.99",.,.,18.885
Palm Beach County,"56,430",4%,697.467,"$33,072 ","53,040",4%,"2,990.24","3,390",25%,8.789
Pasco County,"16,275",3%,709.108,"$24,076 ","9,243",2%,"1,906.49","7,032",14%,100.101
Pinellas County,"110,217",12%,"3,312.75","$29,617 ","110,212",12%,"3,592.01",5,0%,107.552
Polk County,"70,628",11%,368.288,"$21,157 ","45,493",8%,"1,791.78","25,135",29%,58.961
Putnam County,"14,145",19%,99.81,"$18,587 ","2,201",7%,808.395,"11,944",29%,60.393
St. Johns County,.,.,378.68,"$37,147 ",.,.,"1,819.73",.,.,107.225
St. Lucie County,.,.,549.325,"$23,422 ",.,.,"2,051.84",.,.,23.432
Santa Rosa County,"14,974",9%,161.753,"$27,478 ","4,238",3%,"1,358.18","10,736",33%,35.235
Sarasota County,"14,459",4%,719.831,"$33,300 ","10,203",3%,"2,097.55","4,256",24%,48.281
Seminole County,.,.,"1,418.69","$28,870 ",.,.,"2,572.21",.,.,92.844
Sumter County,"25,987",24%,200.392,"$28,875 ","3,725",5%,"2,087.19","22,262",62%,70.545
Suwannee County,"2,835",7%,63.101,"$18,966 ",501,7%,"1,273.91","2,334",6%,53.171
Taylor County,"9,476",39%,23.365,"$16,748 ",194,3%,"1,037.60","9,282",54%,16.665
Union County,"4,141",26%,65.739,"$13,467 ","2,735",52%,"1,061.93","1,406",13%,45.203
Volusia County,.,.,464.44,"$23,844 ",.,.,"2,064.55",.,.,57.634
Wakulla County,"2,643",8%,56.895,"$21,738 ",222,2%,919.43,"2,421",12%,35.102
Walton County,"12,441",21%,57.554,"$25,854 ",500,2%,927.33,"11,941",32%,36.444
Washington County,"18,257",69%,45.551,"$17,950 ",353,9%,"1,074.77","17,904",80%,38.889
Georgia,"932,484",9%,178.596,.,"306,414",4%,"1,627.09","626,070",25%,46.793
Appling County,"8,928",53%,33.517,"$19,440 ",.,.,851.746,"8,928",73%,24.262
Atkinson County,"3,791",46%,24.344,"$16,228 ",.,.,.,"3,791",46%,24.344
Bacon County,"4,009",37%,41.551,"$18,109 ",.,.,"1,207.92","4,009",55%,28.68
Baker County,"2,753",100%,8.051,"$22,136 ",.,.,.,"2,753",100%,8.051
Baldwin County,"1,333",3%,179.644,"$18,582 ",866,3%,879.853,467,3%,76.254
Banks County,866,4%,83.528,"$20,433 ",77,6%,762.303,789,4%,78.752
Barrow County,721,1%,511.393,"$21,185 ",475,1%,973.868,246,1%,241.229
Bartow County,"8,034",7%,234.278,"$21,715 ","1,664",2%,"1,099.50","6,370",17%,94.826
Ben Hill County,632,4%,67.348,"$15,497 ",329,3%,"1,260.26",303,5%,23.885
Berrien County,"1,047",5%,42.937,"$16,660 ",.,.,"1,328.29","1,047",7%,33.541
Bibb County,"4,755",3%,620.183,"$21,276 ","3,983",3%,"1,391.57",772,3%,146.185
Bleckley County,"7,325",56%,60.759,"$19,191 ","3,315",52%,"1,388.43","4,010",60%,31.767
Brantley County,184,1%,42.429,"$16,774 ",.,.,577.303,184,1%,42.219
Brooks County,"1,656",11%,30.756,"$19,473 ",68,2%,900.642,"1,588",15%,22.084
Bryan County,"1,560",5%,77.21,"$27,941 ","1,160",7%,"1,230.43",400,2%,39.325
Bulloch County,"68,792",91%,112.273,"$18,546 ","35,161",89%,"1,558.41","33,631",94%,55.34
Burke County,"6,472",30%,26.373,"$16,663 ",46,1%,"1,188.57","6,426",40%,19.677
Butts County,"3,575",14%,135.108,"$20,165 ",.,.,"1,114.18","3,575",18%,109.578
Calhoun County,"4,199",63%,23.615,"$15,410 ",.,.,.,"4,199",63%,23.615
Camden County,"3,703",7%,85.574,"$23,833 ",381,1%,"1,191.72","3,322",22%,26.033
Candler County,"5,812",54%,44.609,"$16,943 ",79,2%,"1,179.82","5,733",79%,30.379
Carroll County,"26,171",22%,237.846,"$21,384 ","2,328",3%,"1,019.61","23,843",49%,112.126
Catoosa County,282,0%,415.801,"$22,415 ",125,0%,"1,174.13",157,1%,155.973
Charlton County,"2,437",21%,14.87,"$17,586 ",708,13%,"1,137.34","1,729",29%,7.848
Chatham County,"15,089",5%,658.292,"$25,636 ","14,460",5%,"1,678.46",629,5%,47.839
Chattahoochee County,"2,219",22%,40.489,"$19,538 ",.,.,"1,271.28","2,219",95%,9.66
Chattooga County,357,1%,82.547,"$15,932 ",.,.,"1,159.37",357,2%,48.802
Cherokee County,"5,456",2%,594.092,"$30,299 ","3,051",1%,"1,480.37","2,405",6%,149.215
Clarke County,"1,010",1%,"1,029.87","$19,333 ",.,.,"1,677.02","1,010",14%,140.267
Clay County,716,25%,14.679,"$12,446 ",.,.,.,716,25%,14.679
Clayton County,"6,253",2%,"1,880.89","$18,074 ","6,243",2%,"2,147.21",10,0%,115.787
Clinch County,"1,331",21%,7.782,"$18,256 ",129,5%,"1,197.16","1,202",32%,4.7
Cobb County,"26,845",4%,"2,135.32","$33,418 ","26,760",4%,"2,164.77",85,5%,328.478
Coffee County,"3,878",9%,73.516,"$16,796 ",720,5%,"1,163.16","3,158",11%,50.304
Colquitt County,"4,307",9%,85.696,"$16,972 ",914,5%,"1,044.93","3,393",12%,52.535
Columbia County,"19,641",14%,475.27,"$30,411 ","12,016",10%,"1,741.94","7,625",35%,96.759
Cook County,"3,177",19%,73.824,"$18,858 ",100,2%,"1,094.87","3,077",30%,45.951
Coweta County,"4,215",3%,331.208,"$27,462 ","2,820",3%,"1,115.86","1,395",3%,133.999
Crawford County,"4,468",37%,37.416,"$21,128 ",.,.,.,"4,468",37%,37.416
Crisp County,"6,806",30%,83.53,"$19,455 ",355,3%,"1,612.21","6,451",61%,40.16
Dade County,"2,535",16%,93.131,"$21,760 ",34,1%,887.801,"2,501",22%,68.323
Dawson County,"3,156",13%,118.75,"$28,138 ",358,7%,672.97,"2,798",14%,98.363
Decatur County,"9,335",35%,44.596,"$18,387 ",255,2%,"1,151.17","9,080",62%,25.15
DeKalb County,"24,242",3%,"2,682.33","$28,971 ","24,237",3%,"2,808.97",5,0%,158.245
Dodge County,"9,462",44%,42.983,"$17,771 ",512,9%,"1,004.16","8,950",57%,31.921
Dooly County,"3,994",28%,35.965,"$14,411 ",61,1%,"1,865.60","3,933",54%,18.927
Dougherty County,"3,347",4%,285.401,"$18,770 ","2,755",3%,"1,454.33",592,5%,46.761
Douglas County,"6,044",4%,745.321,"$23,356 ","4,817",4%,"1,496.65","1,227",5%,197.917
Early County,"2,368",25%,18.336,"$19,302 ",328,10%,"1,088.83","2,040",34%,11.88
Echols County,"3,599",100%,8.674,"$17,350 ",.,.,.,"3,599",100%,8.674
Effingham County,"1,389",2%,122.807,"$25,481 ",174,1%,"1,525.87","1,215",3%,83.476
Elbert County,"3,760",20%,53.786,"$19,709 ",6,0%,"1,060.55","3,754",28%,38.554
Emanuel County,"21,607",100%,31.747,"$16,960 ","7,432",100%,831.264,"14,175",100%,21.104
Evans County,"4,702",47%,54.536,"$19,177 ",394,10%,"1,201.76","4,308",70%,34.342
Fannin County,"5,123",22%,60.904,"$19,520 ",.,.,.,"5,123",22%,60.904
Fayette County,"2,650",2%,564.432,"$35,987 ","1,209",1%,"1,039.62","1,441",8%,178.053
Floyd County,"10,051",10%,188.359,"$20,863 ","3,197",5%,"1,274.22","6,854",19%,76.386
Forsyth County,"2,633",1%,945.703,"$35,118 ","2,403",1%,"1,231.85",230,1%,295.976
Franklin County,"6,948",33%,81.271,"$18,242 ","2,328",100%,"1,013.25","4,620",24%,73.01
Fulton County,"39,973",4%,"1,908.15","$36,827 ","37,385",4%,"2,373.74","2,588",23%,102.45
Gilmer County,"1,417",5%,67.853,"$21,260 ",224,6%,741.516,"1,193",5%,59.757
Glascock County,"3,082",100%,21.442,"$19,134 ",.,.,.,"3,082",100%,21.442
Glynn County,"4,123",5%,202.338,"$26,667 ","2,986",4%,"1,281.31","1,137",6%,48.603
Gordon County,"10,673",18%,165.137,"$19,595 ","1,847",6%,"1,004.60","8,826",30%,90.549
Grady County,"2,128",9%,53.44,"$16,286 ",279,3%,"1,402.82","1,849",12%,33.916
Greene County,"4,424",29%,38.912,"$28,179 ",.,.,"1,149.16","4,424",35%,32.446
Gwinnett County,"11,935",1%,"2,102.71","$26,060 ","11,862",1%,"2,195.24",73,2%,215.556
Habersham County,"1,427",3%,168.628,"$18,816 ",605,3%,"1,023.23",822,3%,106.454
Hall County,"7,152",4%,519.823,"$23,551 ",322,0%,"1,185.34","6,830",17%,159.807
Hancock County,"8,190",94%,18.527,"$12,661 ","3,403",100%,883.908,"4,787",90%,11.408
Haralson County,"17,046",60%,101.512,"$20,468 ",324,5%,"1,007.79","16,722",76%,79.944
Harris County,"3,673",11%,74.14,"$32,002 ",.,.,"1,195.35","3,673",11%,71.854
Hart County,"11,054",45%,106.642,"$20,881 ",828,13%,"1,013.44","10,226",56%,81.43
Heard County,"4,343",37%,39.567,"$19,360 ",.,.,.,"4,343",37%,39.567
Henry County,"1,401",1%,704.608,"$25,123 ",21,0%,"1,125.76","1,380",5%,205.619
Houston County,"2,381",2%,397.313,"$24,613 ","2,327",2%,"1,570.89",54,0%,49.428
Irwin County,"1,515",18%,23.709,"$18,614 ",574,19%,"1,442.35",941,18%,15.169
Jackson County,"5,111",7%,206.988,"$23,076 ","1,130",4%,872.136,"3,981",10%,135.908
Jasper County,"13,478",95%,38.689,"$21,526 ","2,442",95%,"1,310.98","11,036",94%,31.9
Jeff Davis County,"6,394",42%,46.538,"$17,898 ",831,18%,"1,165.82","5,563",52%,32.738
Jefferson County,"15,001",99%,28.7,"$14,795 ","2,940",100%,"1,230.36","12,061",99%,23.221
Jenkins County,"3,367",45%,21.447,"$18,351 ",8,0%,"1,000.91","3,359",69%,14.148
Johnson County,"9,888",99%,32.804,"$17,078 ","3,523",99%,776.574,"6,365",100%,21.424
Jones County,"1,785",6%,75.734,"$25,526 ",123,1%,"1,054.69","1,662",8%,52.068
Lamar County,"5,370",29%,100.55,"$19,137 ",130,2%,"1,299.94","5,240",46%,64.002
Lanier County,"1,691",15%,60.077,"$16,860 ",65,2%,"2,737.20","1,626",20%,44.669
Laurens County,"17,162",36%,59.144,"$19,002 ",98,0%,915.525,"17,064",63%,34.657
Lee County,"3,249",11%,82.328,"$26,886 ",828,4%,"1,030.42","2,421",24%,29.466
Liberty County,"4,904",8%,123.687,"$20,308 ","2,677",6%,"1,663.83","2,227",16%,29.374
Lincoln County,.,.,34.894,"$21,579 ",.,.,.,.,.,34.894
Long County,"1,867",12%,39.558,"$18,206 ",436,14%,"1,086.38","1,431",11%,31.974
Lowndes County,"20,777",18%,237.275,"$19,353 ","8,150",9%,"1,493.42","12,627",40%,71.729
Lumpkin County,"2,414",7%,117.18,"$20,333 ",659,13%,"1,248.90","1,755",6%,100.431
McDuffie County,"2,641",12%,83.446,"$18,743 ",315,4%,"1,385.77","2,326",18%,51.486
McIntosh County,"1,220",8%,34.898,"$23,286 ",17,0%,"1,214.28","1,203",11%,26.241
Macon County,"1,600",12%,33.983,"$13,546 ",614,9%,"1,094.15",986,14%,18.101
Madison County,"4,338",15%,100.163,"$20,661 ",3,0%,744.339,"4,335",17%,92.861
Marion County,774,9%,23.232,"$19,420 ",.,.,.,774,9%,23.232
Meriwether County,"9,293",46%,40.641,"$18,441 ",.,.,"1,079.48","9,293",55%,33.927
Miller County,"4,964",90%,19.563,"$20,641 ",.,.,.,"4,964",90%,19.563
Mitchell County,"9,444",41%,44.608,"$15,547 ","1,858",18%,"1,383.54","7,586",61%,24.517
Monroe County,"15,478",56%,70.053,"$23,196 ","1,639",30%,"1,174.59","13,839",62%,57.075
Montgomery County,"3,927",47%,34.727,"$17,378 ",110,100%,935.852,"3,817",47%,34.285
Morgan County,"11,600",64%,52.417,"$25,012 ",8,0%,"1,047.87","11,592",84%,40.233
Murray County,495,1%,114.833,"$16,481 ",.,.,707.75,495,2%,84.398
Muscogee County,"2,336",1%,879.02,"$23,209 ","1,963",1%,"2,066.65",373,6%,46.782
Newton County,"7,258",6%,414.758,"$21,811 ",70,0%,"1,176.51","7,188",21%,164.717
Oconee County,"6,305",17%,196.359,"$34,086 ",.,.,716.268,"6,305",35%,113.407
Oglethorpe County,"1,628",11%,34.619,"$21,764 ",.,.,277.576,"1,628",11%,34.385
Paulding County,"4,894",3%,541.059,"$24,868 ","1,649",1%,"1,179.33","3,245",10%,170.145
Peach County,"4,911",17%,194.447,"$20,256 ","1,580",9%,"1,098.17","3,331",30%,82.447
Pickens County,"3,329",10%,138.272,"$26,444 ",76,1%,783.436,"3,253",14%,106.472
Pierce County,"5,002",26%,61.189,"$21,601 ",.,.,"1,151.57","5,002",32%,49.475
Pike County,"16,579",86%,89.576,"$23,670 ",49,25%,623.279,"16,530",86%,88.79
Polk County,"2,641",6%,137.008,"$18,773 ",.,.,"1,316.05","2,641",12%,73.969
Pulaski County,"2,795",24%,46.765,"$17,379 ",.,.,"1,117.82","2,795",35%,32.744
Putnam County,"8,582",40%,62.906,"$24,807 ",.,.,962.559,"8,582",49%,51.871
Quitman County,"1,444",60%,16.034,"$15,644 ",216,34%,892.529,"1,228",69%,11.892
Rabun County,817,5%,43.339,"$22,848 ",299,8%,932.697,518,4%,33.863
Randolph County,788,11%,16.292,"$24,084 ",70,2%,"1,514.59",718,21%,8.037
Richmond County,"14,011",7%,621.301,"$20,549 ","12,595",7%,"1,724.35","1,416",8%,82.582
Rockdale County,"1,620",2%,699.176,"$23,409 ","1,476",2%,"1,300.37",144,1%,182.956
Schley County,462,9%,32.21,"$20,650 ",.,.,.,462,9%,32.21
Screven County,1,0%,21.115,"$18,650 ",1,0%,810.652,.,.,16.697
Seminole County,333,4%,33.512,"$18,939 ",26,1%,853.917,307,6%,23.143
Spalding County,"3,616",5%,337.891,"$19,656 ","1,226",3%,"1,383.88","2,390",9%,161.342
Stephens County,"1,193",5%,142.488,"$19,624 ",624,6%,928.679,569,4%,91.327
Stewart County,"5,296",94%,12.341,"$13,354 ",.,.,.,"5,296",94%,12.341
Sumter County,"7,930",25%,64.707,"$17,838 ",582,3%,"1,519.54","7,348",57%,27.172
Talbot County,707,12%,15.345,"$18,545 ",.,.,503.54,707,13%,14.415
Taliaferro County,.,.,6.968,"$13,742 ",.,.,.,.,.,6.968
Tattnall County,"4,949",20%,52.248,"$14,777 ","1,243",16%,"1,256.07","3,706",22%,36.114
Taylor County,"2,052",26%,20.895,"$17,311 ",.,.,.,"2,052",26%,20.895
Telfair County,"2,416",15%,37.734,"$12,156 ",384,4%,"1,689.21","2,032",27%,17.681
Terrell County,810,10%,23.155,"$16,592 ",169,4%,"1,771.31",641,16%,11.664
Thomas County,"4,015",9%,83.251,"$19,636 ",430,2%,"1,094.60","3,585",17%,39.29
Tift County,"5,764",14%,156.893,"$19,560 ","1,064",4%,"1,371.95","4,700",29%,67.657
Toombs County,"25,335",95%,73.021,"$18,663 ","12,633",100%,"1,070.98","12,702",91%,39.544
Towns County,332,3%,64.288,"$20,620 ",.,.,.,332,3%,64.288
Treutlen County,"6,426",99%,32.617,"$20,643 ","2,601",100%,"1,048.05","3,825",98%,19.822
Troup County,"8,552",12%,168.684,"$21,386 ",.,.,"1,249.43","8,552",28%,80.991
Turner County,667,9%,26.528,"$17,215 ",42,1%,"1,252.61",625,17%,12.798
Twiggs County,"3,510",44%,22.04,"$17,629 ",.,.,.,"3,510",44%,22.04
Union County,"2,179",10%,70.047,"$21,345 ",.,.,.,"2,179",10%,70.047
Upson County,400,2%,78.847,"$17,728 ",.,.,"1,319.23",400,3%,37.566
Walker County,"1,658",2%,157.207,"$20,466 ",511,1%,"1,059.40","1,147",4%,75.003
Walton County,"4,127",4%,292.735,"$22,987 ","1,107",2%,"1,018.21","3,020",8%,147.393
Ware County,"4,886",14%,38.933,"$18,341 ",698,3%,"1,080.98","4,188",40%,11.983
Warren County,"4,794",100%,16.905,"$17,344 ",.,.,.,"4,794",100%,16.905
Washington County,"9,596",47%,29.847,"$17,330 ",.,.,"1,020.77","9,596",73%,19.522
Wayne County,"4,861",16%,47.431,"$18,139 ","2,140",17%,"1,228.56","2,721",15%,27.938
Webster County,952,38%,11.907,"$17,740 ",.,.,.,952,38%,11.907
Wheeler County,"3,408",48%,24.214,"$8,200 ",.,.,.,"3,408",48%,24.214
White County,674,2%,120.044,"$22,016 ",200,4%,994.013,474,2%,102.166
Whitfield County,.,.,377.658,"$20,124 ",.,.,"1,248.75",.,.,135.78
Wilcox County,"1,189",14%,22.827,"$12,919 ",.,.,.,"1,189",14%,22.827
